id,name,hazardous,absolute_magnitude,diameter_min_m,diameter_max_m,diameter_avg_m,size_category,close_approach_date,year,month,day,velocity_kmh,velocity_kps,miss_distance_km,miss_distance_ld,very_close,risk_score,impact_energy,orbiting_body,nasa_jpl_url,risk_rank
3758248,(2016 QG44),False,22.43,86.8070457914,194.1064553155,140.45675055345,Medium,2025-02-26,2025,2,26,55777.1753534861,15.4936598204,29690660.850264486,77.2047561289,False,0.26386347022420176,332587473171259.0,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3758248,506.0
3773595,(2017 FL127),False,22.8,73.2073989347,163.696720474,118.45205970434999,Medium,2025-02-26,2025,2,26,58311.1539328842,16.1975427591,9629977.053383483,25.0408717301,False,0.7172474294381364,218019894468417.25,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3773595,233.0
3576729,(2011 OB57),False,26.0,16.7708462163,37.5007521798,27.13579919805,Small,2025-03-01,2025,3,1,33443.8085467128,9.2899468185,41207184.5085955,107.1512233018,False,0.022023452559645863,862232345013.01,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3576729,1330.0
3685814,(2014 RF11),False,23.8,46.1907460282,103.2856480504,74.7381970393,Medium,2025-03-01,2025,3,1,25579.2053310223,7.1053348142,60273612.796896085,156.7297407242,False,0.03171775507435829,10538212448693.229,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3685814,1187.0
3757410,(2016 PA40),False,24.49,33.6166921158,75.1692087496,54.392950432700005,Medium,2025-03-01,2025,3,1,29309.4175161847,8.1415048656,22121481.17801624,57.5225849021,False,0.07206686032187773,5333437724213.065,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3757410,859.0
3404530,(2008 EP),False,24.31,36.5220356958,81.6657544926,59.0938950942,Medium,2025-03-02,2025,3,2,36279.8968115034,10.0777491143,9303846.875120612,24.1928339917,False,0.2304337598182569,10479123041226.754,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3404530,529.0
3578917,(2011 SB25),False,21.04,164.6474377554,368.1628631423,266.40515044885,Medium,2025-03-02,2025,3,2,54927.4610877466,15.2576280799,26977432.630870853,70.1495368444,False,0.5424147929521537,2200756045539999.0,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3578917,299.0
3736205,(2015 XT128),False,22.1,101.054341542,225.9643771094,163.50935932570002,Medium,2025-03-02,2025,3,2,32841.9661090505,9.1227683636,20055830.841978204,52.1512652388,False,0.26775100367557425,181907728390385.7,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3736205,503.0
3766342,(2017 AT4),False,26.6,12.7219878539,28.4472296503,20.5846087521,Small,2025-03-02,2025,3,2,55380.2214968402,15.3833948602,61249402.198720075,159.2670902019,False,0.0186121031584683,1032053545549.5453,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3766342,1386.0
3838913,(2019 EM1),False,22.29,92.5880583366,207.0331923453,149.81062534095,Medium,2025-03-02,2025,3,2,81706.8077561095,22.6963354878,35272064.07577297,91.7181035096,False,0.34703236925006353,865982946511985.8,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838913,414.0
3838892,(2019 ER),False,27.1,10.1054341542,22.5964377109,16.350935932549998,Small,2025-03-02,2025,3,2,60525.6066073188,16.812668502,54125880.46039812,140.7437652628,False,0.01828423496295981,617833076230.9072,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838892,1390.0
3989721,(2020 CU1),False,24.19,38.5971267955,86.3057992509,62.4514630232,Medium,2025-03-02,2025,3,2,16815.2043245118,4.6708900901,57935308.59935025,150.6494380244,False,0.018125977689390935,2657034240636.296,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989721,1391.0
2465402,465402 (2008 HW1),False,17.39,884.2090926555,1977.151637501,1430.68036507825,Huge,2025-03-03,2025,3,3,139612.9747286311,38.7813818691,16114897.603338124,41.9036391875,False,12.39483778122443,2.2021374097848404e+18,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2465402,3.0
3662633,(2014 DE23),False,24.7,30.5179232594,68.2401509401,49.37903709974999,Small,2025-03-03,2025,3,3,45277.4388580445,12.5770663495,18380736.65249511,47.7955104429,False,0.12163583948903087,9522622297364.695,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3662633,686.0
3785694,(2017 TN2),False,22.23,95.1820329819,212.8334959841,154.00776448300002,Medium,2025-03-03,2025,3,3,78707.0973981442,21.8630826106,11148642.704202807,28.9898647082,False,1.0872627673917992,873012870660931.5,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3785694,160.0
3838904,(2019 ED1),False,27.63,7.9168966694,17.7027191237,12.80980789655,Small,2025-03-03,2025,3,3,28560.9315420882,7.933592095,8425525.631768348,21.9089313956,False,0.04342281566638339,66151179145.874245,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838904,1074.0
54051386,(2020 QP5),False,18.32,576.1757510611,1288.3681463596,932.27194871035,Large,2025-03-03,2025,3,3,101544.3323672087,28.2067589909,25888491.768436667,67.3179591255,False,3.656718725186121,3.2233259937153184e+17,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051386,35.0
2886371,886371 (2020 QP5),False,18.34,570.8933400239,1276.5563161953,923.7248281096,Large,2025-03-03,2025,3,3,101544.3324752674,28.2067590209,25888491.768436667,67.3179591255,False,3.623193730257416,3.1354814183838694e+17,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2886371,38.0
2513312,513312 (2007 DM41),True,22.06,102.9330820202,230.1653685307,166.54922527545,Medium,2025-03-04,2025,3,4,78054.5825424403,21.681828484,22911213.898787007,59.5761303729,False,0.5674046913913345,1085899577253970.9,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2513312,291.0
